"player_id","full_name","team","positions","current_price","breakeven","current_season_average","average_3_round","average_5_round","total_points","games_played","ownership_percentage","played_status","status","injury_detail","expected_return","role_tag","goal_kicking_status","starting_status","locked_flag","active_flag"
340,"Edgar, Jaxen","PTH","FLB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
398,"Fale, David","STG","CTW",235600,NA,5.8,NA,NA,29,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
527,"Fifita, Viliami","MNL","2RF/FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
343,"Fonua, Sione","PTH","CTW/FLB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
137,"Gray, Brock","GCT","2RF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
369,"Hau Tapuha, Tuku","SHA",NA,235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
522,"Hetherington, Jack","MEL","2RF/FRF",235600,NA,9.2,NA,NA,46,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
8,"Hoeter, Delouise","BRO","CTW",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
220,"Hola, Peter","NEW","FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
221,"Hopwood, Cody","NEW","FRF",235600,NA,4.4,NA,NA,22,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
161,"Huen, Stanley","MEL","5/8",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
257,"Lahrs, Kaiden","NQC","FRF",235600,NA,3.4,NA,NA,17,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
500,"Laulilii, Kit","WST","2RF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
465,"Losalu, Taylor","SYD","FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
296,"Martin, Te Maire","NZL",NA,235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
318,"Mataele, Toni","PAR","2RF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
352,"McLean, Jesse","PTH","CTW",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
509,"Murray, Charlie","WST","2RF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
384,"Puru, Hohepa","SHA","2RF",235600,NA,3.6,NA,NA,18,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
84,"Roddy, Joe","CBR","2RF",235600,NA,4.2,NA,NA,21,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
548,"Rodwell, Tom","SYD","CTW",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
21,"Rogers, Josh","BRO","5/8",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
234,"Salesa-Leaumoana, Elijah","NEW","2RF/FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
197,"Schoupp, Aaron","MNL","CTW",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
151,"Simpkins, Tukimihia","GCT","FRF",235600,NA,10.2,NA,NA,51,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
446,"Smith, Brandon","STH","HOK",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
152,"Sommerton, Luke","GCT","HOK",235600,NA,3,NA,NA,15,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
90,"Stewart, Chevy","CBR","FLB",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
57,"Suluka-Fifita, Daniel","BUL","FRF",235600,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
